id,transaction_date,description,amount,extended_details,statement_description,true_category,is_manually_categorized,confidence,model_version,model_filename,source_file,timestamp,home,card_type,rf_category,rf_confidence,rf_correct,llama_category,llama_correct
483,2024-09-14,AplPay HYATT REG LKERENTON              WA,9.93,"5654       5654             98056
RESTAURANT
AplPay HYATT REG LKE WSHGTN F&B SEAR
RENTON
WA
RESTAURANT
5654             98056",AplPay HYATT REG LKERENTON              WA,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.2585721124854464,True,Travel-Lodging,False
405,2024-08-03,AplPay JEWEL OSCO 00NAPERVILLE          IL,6.26,"00590047    800-898-4027
AplPay JEWEL OSCO 0059 0059
NAPERVILLE
IL
Description : GROCERIES/SUNDRIES Price : 0.00
800-898-4027",AplPay JEWEL OSCO 00NAPERVILLE          IL,Groceries,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Groceries,0.6834655310914407,True,Groceries,True
191,2024-07-26,AplPay HUNTINGTON BACHICAGO             IL,6.43,".0199917220 312-288-3191
AplPay HUNTINGTON BANK PAVILI HUNTINGTON B
CHICAGO
IL
312-288-3191",AplPay HUNTINGTON BACHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.2165283073977083,True,Misc,False
39,2024-06-22,FAMILY PRIDE LAUNDRYLOMBARD             IL,0.25,"6309324700
FAMILY PRIDE LAUNDRY ULTR
LOMBARD
IL
6309324700",FAMILY PRIDE LAUNDRYLOMBARD             IL,Home,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Home,0.5124270582108467,True,Home,True
805,2024-11-04,PETSCREENING SERVICEMOORESVILLE         NC,30.0,"NT_R9R6LEEF +18646417387
PETSCREENING SERVICE
MOORESVILLE
NC
+18646417387",PETSCREENING SERVICEMOORESVILLE         NC,Dante,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Home,Platinum,Food & Drink,0.1511680137105007,False,Dante,True
141,2024-05-22,AplPay PHILZ COFFEE Chicago             IL,6.9,"BKzTc3Wo7kp squareup.com/receipts
AplPay PHILZ COFFEE
Chicago
IL
squareup.com/receipts",AplPay PHILZ COFFEE Chicago             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.21459961344352926,True,Food & Drink,True
482,2024-09-14,AplPay HYATT REG LKERENTON              WA,4.96,"5712       5712             98056
RESTAURANT
AplPay HYATT REG LKE WSHGTN F&B SEAR
RENTON
WA
RESTAURANT
5712             98056",AplPay HYATT REG LKERENTON              WA,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Food & Drink,0.25408725363463863,True,Travel-Lodging,False
808,2024-11-01,DUNKIN #357738 Q35 3BOLINGBROOK         IL,14.17,"24011149311 630-783-9505
DUNKIN #357738 Q35 3577
BOLINGBROOK
IL
Description : FAST FOOD RESTAURAN Price : 0.00
630-783-9505",DUNKIN #357738 Q35 3BOLINGBROOK         IL,Food & Drink,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Food & Drink,0.18008702183115802,True,Food & Drink,True
304,2024-07-05,AplPay UBER EATS    help.uber.com       CA,1.31,"2FD1XD4Q    8005928996
AplPay UBER EATS
help.uber.com
CA
8005928996",AplPay UBER EATS    help.uber.com       CA,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.5163691784599564,True,Food & Drink,True
606,2024-10-07,AplPay MANGO MALAGA MALAGA              ES,66.32,"35086       FAMILY CLOTHING
AplPay MANGO MALAGA MAN T 11992 334668936
MALAGA
ES
FAMILY CLOTHINGForeign Spend Amount: 60.08 EURO Commission Amount:  Currency Exchange Rate: null",AplPay MANGO MALAGA MALAGA              ES,Clothes,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Clothes,0.22676404515352036,True,Clothes,True
